Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.000000,0.020001,0.00,0.000000,0.000200,0.000
0.020000,0.040001,0.00,0.000000,0.000200,0.000
0.020000,0.060001,0.00,0.000000,0.000100,0.000
0.020000,0.080001,0.00,0.000000,0.000200,0.000
0.020000,0.100001,0.00,0.000000,0.000000,0.000
0.020000,0.120001,0.00,0.000000,0.000100,0.000
0.020000,0.140001,0.00,0.000000,0.000000,0.000
0.020000,0.160001,0.00,0.000000,0.000200,0.000
0.020000,0.180001,0.00,0.000000,0.000300,0.000
0.020000,0.200001,0.00,0.000000,0.000200,0.000
0.020000,0.220001,0.00,0.000000,0.000100,0.000
0.020000,0.240001,0.00,0.000000,0.000100,0.000
0.020000,0.260001,0.00,0.000000,0.000000,0.000
0.020000,0.280001,0.00,0.000000,0.000200,0.000
0.020000,0.300001,0.00,0.000000,0.000200,0.000
0.020000,0.320001,0.00,0.000000,0.000100,0.000
0.020000,0.340001,0.00,0.000000,0.000200,0.000
0.020000,0.360001,0.00,0.000000,0.000100,0.000
0.020000,0.380001,0.00,0.000000,0.000200,0.000
0.020000,0.400001,0.00,0.000000,0.000200,0.000
0.020000,0.420001,0.00,0.000000,0.000200,0.000
0.020000,0.440001,0.00,0.000000,-0.000100,0.000
0.020000,0.460001,0.00,0.000000,-0.000100,0.000
0.020000,0.480001,0.00,0.000000,0.000200,0.000
0.020000,0.500001,0.00,0.000000,0.000100,0.000
0.020000,0.520001,0.00,0.000000,0.000100,0.000
0.020000,0.540001,0.00,0.000000,0.000000,0.000
0.020000,0.560001,0.00,0.000000,0.000100,0.000
0.020000,0.580001,0.00,0.000000,0.000100,0.000
0.020000,0.600001,0.00,0.000000,-0.000100,0.000
0.020000,0.620001,0.00,0.000000,0.000200,0.000
0.020000,0.640001,0.00,0.000000,0.000000,0.000
0.020000,0.660001,0.00,0.000000,0.000100,0.000
0.020000,0.680001,0.00,0.000000,0.000100,0.000
0.020000,0.700001,0.00,0.000000,0.000000,0.000
0.020000,0.720001,0.00,0.000000,0.000000,0.000
0.020000,0.740001,0.00,0.000000,0.000100,0.000
0.020000,0.760001,0.00,0.000000,0.000000,0.000
0.020000,0.780001,0.00,0.000000,0.000200,0.000
0.020000,0.800001,0.00,0.000000,0.000100,0.000
0.020000,0.820001,0.00,0.000000,0.000000,0.000
0.020000,0.840001,0.00,0.000000,0.000200,0.000
0.020000,0.860001,0.00,0.000000,-0.000200,0.000
0.020000,0.880001,0.00,0.000000,0.000100,0.000
0.020000,0.900001,0.00,0.000000,0.000100,0.000
0.020000,0.920001,0.00,0.000000,0.000100,0.000
0.020000,0.940001,0.00,0.000000,-0.000100,0.000
0.020000,0.960001,0.00,0.000000,-0.000200,0.000
0.020000,0.980001,0.00,0.000000,0.000300,0.000
0.020000,1.000001,0.00,0.000000,0.000200,0.000
-0.980000,1.020001,90.00,10.420893,0.936100,99.512
0.020000,1.040001,90.00,19.922297,0.471100,190.244
0.020000,1.060001,90.00,25.439238,0.287000,242.927
0.020000,1.080001,90.00,28.197708,0.200900,269.268
0.020000,1.100001,90.00,28.197708,0.139600,269.268
0.020000,1.120001,90.00,30.036692,0.145600,286.829
0.020000,1.140001,90.00,29.423698,0.160300,280.976
0.020000,1.160001,90.00,30.649685,0.127500,292.683
0.020000,1.180001,90.00,30.649685,0.118200,292.683
0.020000,1.200001,90.00,30.036692,0.141100,286.829
0.020000,1.220001,90.00,30.649685,0.110900,292.683
0.020000,1.240001,90.00,30.036692,0.140200,286.829
0.020000,1.260001,90.00,30.649685,0.101100,292.683
0.020000,1.280001,90.00,30.036692,0.115200,286.829
0.020000,1.300001,90.00,31.262678,0.087400,298.537
0.020000,1.320001,90.00,29.730196,0.074300,283.902
0.020000,1.340001,90.00,30.956182,0.079300,295.610
0.020000,1.360001,90.00,30.036692,0.083200,286.829
0.020000,1.380001,90.00,30.649685,0.094300,292.683
0.020000,1.400001,90.00,30.036692,0.129300,286.829
0.020000,1.420001,90.00,31.262678,0.134800,298.537
0.020000,1.440001,90.00,29.730196,0.098800,283.902
0.020000,1.460001,90.00,30.956182,0.104700,295.610
0.020000,1.480001,90.00,30.036692,0.082200,286.829
0.020000,1.500001,90.00,31.262678,0.091300,298.537
0.020000,1.520001,90.00,29.423698,0.108200,280.976
0.020000,1.540001,90.00,31.262678,0.136600,298.537
0.020000,1.560001,90.00,30.036692,0.127800,286.829
0.020000,1.580001,90.00,31.262678,0.145600,298.537
0.020000,1.600001,90.00,29.423698,0.106800,280.976
0.020000,1.620001,90.00,31.262678,0.080900,298.537
0.020000,1.640001,90.00,30.036692,0.089000,286.829
0.020000,1.660001,90.00,31.262678,0.085000,298.537
0.020000,1.680001,90.00,29.423698,0.103400,280.976
0.020000,1.700001,90.00,31.262678,0.119100,298.537
0.020000,1.720001,90.00,30.036692,0.126700,286.829
0.020000,1.740001,90.00,31.262678,0.092100,298.537
0.020000,1.760001,90.00,30.036692,0.098400,286.829
0.020000,1.780001,90.00,30.649685,0.093000,292.683
0.020000,1.800001,90.00,30.036692,0.127800,286.829
0.020000,1.820001,90.00,31.262678,0.122400,298.537
0.020000,1.840001,90.00,30.036692,0.144400,286.829
0.020000,1.860001,90.00,31.262678,0.099500,298.537
0.020000,1.880001,90.00,30.036692,0.067900,286.829
0.020000,1.900001,90.00,30.649685,0.082800,292.683
0.020000,1.920001,90.00,31.262678,0.093900,298.537
0.020000,1.940001,90.00,30.036692,0.114400,286.829
0.020000,1.960001,90.00,31.262678,0.144800,298.537
0.020000,1.980001,90.00,29.730196,0.102600,283.902
0.020000,2.000001,90.00,30.956182,0.070800,295.610
-0.980000,2.020001,0.00,0.000000,0.000000,0.000
0.020000,2.040001,0.00,0.000000,0.000000,0.000
0.020000,2.060001,0.00,0.000000,0.000000,0.000
0.020000,2.080001,0.00,0.000000,0.000000,0.000
0.020000,2.100001,0.00,0.000000,0.000100,0.000
0.020000,2.120001,0.00,0.000000,0.000200,0.000
0.020000,2.140001,0.00,0.000000,0.000100,0.000
0.020000,2.160001,0.00,0.000000,0.000200,0.000
0.020000,2.180001,0.00,0.000000,-0.000100,0.000
0.020000,2.200001,0.00,0.000000,0.000100,0.000
0.020000,2.220001,0.00,0.000000,0.000300,0.000
0.020000,2.240001,0.00,0.000000,0.000100,0.000
0.020000,2.260001,0.00,0.000000,0.000200,0.000
0.020000,2.280001,0.00,0.000000,0.000200,0.000
0.020000,2.300001,0.00,0.000000,0.000100,0.000
0.020000,2.320001,0.00,0.000000,0.000300,0.000
0.020000,2.340001,0.00,0.000000,0.000000,0.000
0.020000,2.360001,0.00,0.000000,0.000100,0.000
