Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.000000,0.010001,90.00,6.129937,1.630700,58.537
0.010000,0.020001,90.00,12.872868,0.865000,122.927
0.010000,0.030001,90.00,19.002804,0.720600,181.463
0.010000,0.040001,90.00,22.067772,0.504600,210.732
0.010000,0.050001,90.00,25.745735,0.374600,245.854
0.010000,0.060001,90.00,26.358730,0.277500,251.707
0.010000,0.070001,90.00,28.197708,0.245700,269.268
0.010000,0.080001,90.00,28.810707,0.159900,275.122
0.010000,0.090001,90.00,30.036692,0.154200,286.829
0.010000,0.100001,90.00,30.036692,0.119800,286.829
0.010000,0.110001,90.00,28.197708,0.151900,269.268
0.010000,0.120001,90.00,30.649685,0.155600,292.683
0.010000,0.130001,90.00,30.649685,0.119500,292.683
0.010000,0.140001,90.00,31.875669,0.110800,304.390
0.010000,0.150001,90.00,28.197708,0.129100,269.268
0.010000,0.160001,90.00,30.649685,0.089700,292.683
0.010000,0.170001,90.00,31.875669,0.096400,304.390
0.010000,0.180001,90.00,30.649685,0.092000,292.683
0.010000,0.190001,90.00,28.197708,0.106500,269.268
0.010000,0.200001,90.00,31.875669,0.072000,304.390
0.010000,0.210001,90.00,30.649685,0.090000,292.683
0.010000,0.220001,90.00,31.875669,0.076700,304.390
0.010000,0.230001,90.00,28.197708,0.122500,269.268
0.010000,0.240001,90.00,31.875669,0.105200,304.390
0.010000,0.250001,90.00,30.649685,0.123700,292.683
0.010000,0.260001,90.00,30.649685,0.136700,292.683
0.010000,0.270001,90.00,29.423698,0.148100,280.976
0.010000,0.280001,90.00,30.649685,0.092200,292.683
0.010000,0.290001,90.00,31.875669,0.097200,304.390
0.010000,0.300001,90.00,30.649685,0.089700,292.683
0.010000,0.310001,90.00,29.423698,0.067100,280.976
0.010000,0.320001,90.00,30.649685,0.069900,292.683
0.010000,0.330001,90.00,31.875669,0.090400,304.390
0.010000,0.340001,90.00,30.649685,0.077200,292.683
0.010000,0.350001,90.00,29.423698,0.128700,280.976
0.010000,0.360001,90.00,30.649685,0.124700,292.683
0.010000,0.370001,90.00,30.649685,0.124100,292.683
0.010000,0.380001,90.00,31.875669,0.131800,304.390
0.010000,0.390001,90.00,30.649685,0.143600,292.683
0.010000,0.400001,90.00,29.423698,0.087400,280.976
0.010000,0.410001,90.00,30.649685,0.084400,292.683
0.010000,0.420001,90.00,31.875669,0.085800,304.390
0.010000,0.430001,90.00,30.649685,0.070300,292.683
0.010000,0.440001,90.00,29.423698,0.069800,280.976
0.010000,0.450001,90.00,30.649685,0.095000,292.683
0.010000,0.460001,90.00,31.262678,0.139400,298.537
0.010000,0.470001,90.00,31.262678,0.133100,298.537
0.010000,0.480001,90.00,28.810707,0.122900,275.122
0.010000,0.490001,90.00,31.262678,0.125000,298.537
0.010000,0.500001,90.00,30.649685,0.121100,292.683
0.010000,0.510001,90.00,31.875669,0.072300,304.390
0.010000,0.520001,90.00,28.197708,0.084700,269.268
0.010000,0.530001,90.00,31.875669,0.083600,304.390
0.010000,0.540001,90.00,30.649685,0.083700,292.683
0.010000,0.550001,90.00,31.875669,0.072000,304.390
0.010000,0.560001,90.00,28.197708,0.113600,269.268
0.010000,0.570001,90.00,31.262678,0.102200,298.537
0.010000,0.580001,90.00,31.262678,0.142700,298.537
0.010000,0.590001,90.00,30.649685,0.137600,292.683
0.010000,0.600001,90.00,29.423698,0.120900,280.976
0.010000,0.610001,90.00,30.649685,0.107400,292.683
0.010000,0.620001,90.00,31.875669,0.111200,304.390
0.010000,0.630001,90.00,30.649685,0.070000,292.683
0.010000,0.640001,90.00,29.423698,0.081200,280.976
0.010000,0.650001,90.00,30.649685,0.081500,292.683
0.010000,0.660001,90.00,31.875669,0.091100,304.390
0.010000,0.670001,90.00,30.649685,0.078400,292.683
0.010000,0.680001,90.00,29.423698,0.117100,280.976
0.010000,0.690001,90.00,30.649685,0.111700,292.683
0.010000,0.700001,90.00,31.262678,0.144100,298.537
0.010000,0.710001,90.00,31.262678,0.090000,298.537
0.010000,0.720001,90.00,28.810707,0.112700,275.122
0.010000,0.730001,90.00,31.262678,0.102600,298.537
0.010000,0.740001,90.00,30.649685,0.103900,292.683
0.010000,0.750001,90.00,31.875669,0.067300,304.390
0.010000,0.760001,90.00,28.197708,0.086500,269.268
0.010000,0.770001,90.00,31.875669,0.080700,304.390
0.010000,0.780001,90.00,30.649685,0.105800,292.683
0.010000,0.790001,90.00,31.875669,0.090200,304.390
0.010000,0.800001,90.00,28.197708,0.121200,269.268
0.010000,0.810001,90.00,31.875669,0.136900,304.390
0.010000,0.820001,90.00,30.649685,0.143200,292.683
0.010000,0.830001,90.00,31.875669,0.083300,304.390
0.010000,0.840001,90.00,28.197708,0.097100,269.268
0.010000,0.850001,90.00,31.875669,0.091000,304.390
0.010000,0.860001,90.00,30.649685,0.076100,292.683
0.010000,0.870001,90.00,31.875669,0.066200,304.390
0.010000,0.880001,90.00,28.197708,0.090700,269.268
0.010000,0.890001,90.00,31.262678,0.085300,298.537
0.010000,0.900001,90.00,31.262678,0.129800,298.537
0.010000,0.910001,90.00,30.649685,0.103700,292.683
0.010000,0.920001,90.00,29.423698,0.124300,280.976
0.010000,0.930001,90.00,30.649685,0.119600,292.683
0.010000,0.940001,90.00,31.875669,0.129100,304.390
0.010000,0.950001,90.00,30.649685,0.075300,292.683
0.010000,0.960001,90.00,29.423698,0.088800,280.976
0.010000,0.970001,90.00,30.649685,0.085200,292.683
0.010000,0.980001,90.00,31.875669,0.080300,304.390
0.010000,0.990001,90.00,30.649685,0.067700,292.683
0.010000,1.000001,90.00,29.423698,0.107200,280.976
0.010000,1.010001,90.00,30.649685,0.131800,292.683
0.010000,1.020001,90.00,31.875669,0.138700,304.390
0.010000,1.030001,90.00,30.649685,0.098900,292.683
0.010000,1.040001,90.00,29.423698,0.120900,280.976
0.010000,1.050001,90.00,30.649685,0.107400,292.683
0.010000,1.060001,90.00,31.262678,0.081800,298.537
0.010000,1.070001,90.00,31.262678,0.069700,298.537
0.010000,1.080001,90.00,28.810707,0.086100,275.122
0.010000,1.090001,90.00,31.262678,0.087700,298.537
0.010000,1.100001,90.00,30.649685,0.092700,292.683
0.010000,1.110001,90.00,31.875669,0.100500,304.390
0.010000,1.120001,90.00,28.197708,0.118600,269.268
0.010000,1.130001,90.00,31.875669,0.135400,304.390
0.010000,1.140001,90.00,30.649685,0.098500,292.683
0.010000,1.150001,90.00,31.875669,0.088500,304.390
0.010000,1.160001,90.00,28.197708,0.101800,269.268
0.010000,1.170001,90.00,31.875669,0.097000,304.390
0.010000,1.180001,90.00,30.649685,0.075800,292.683
0.010000,1.190001,90.00,31.875669,0.078300,304.390
0.010000,1.200001,90.00,28.197708,0.086800,269.268
0.010000,1.210001,90.00,31.875669,0.113400,304.390
0.010000,1.220001,90.00,30.649685,0.120300,292.683
0.010000,1.230001,90.00,31.875669,0.103700,304.390
0.010000,1.240001,90.00,28.197708,0.134100,269.268
0.010000,1.250001,90.00,31.262678,0.124300,298.537
0.010000,1.260001,90.00,31.262678,0.088100,298.537
0.010000,1.270001,90.00,30.649685,0.078000,292.683
0.010000,1.280001,90.00,29.423698,0.091000,280.976
0.010000,1.290001,90.00,31.262678,0.071000,298.537
0.010000,1.300001,90.00,31.262678,0.078400,298.537
0.010000,1.310001,90.00,30.649685,0.091500,292.683
0.010000,1.320001,90.00,29.423698,0.102200,280.976
0.010000,1.330001,90.00,30.649685,0.124900,292.683
0.010000,1.340001,90.00,31.875669,0.115500,304.390
0.010000,1.350001,90.00,30.649685,0.101500,292.683
0.010000,1.360001,90.00,29.423698,0.111000,280.976
0.010000,1.370001,90.00,30.649685,0.106400,292.683
0.010000,1.380001,90.00,31.875669,0.080300,304.390
0.010000,1.390001,90.00,30.649685,0.074600,292.683
0.010000,1.400001,90.00,29.423698,0.084900,280.976
0.010000,1.410001,90.00,30.649685,0.090600,292.683
0.010000,1.420001,90.00,31.875669,0.095400,304.390
0.010000,1.430001,90.00,30.649685,0.100600,292.683
0.010000,1.440001,90.00,29.423698,0.144200,280.976
