Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.01,0.010001,70,4.5361534,0.97956,43.3172
0.01,0.020001,70,10.7886892,0.5923,103.0246
0.01,0.030001,70,15.815237,0.44354,151.0242
0.01,0.040001,70,18.1446128,0.34446,173.2682
0.01,0.050001,70,19.125403,0.23668,182.6342
0.01,0.060001,70,20.5965878,0.17054,196.6828
0.01,0.070001,70,22.1903704,0.15234,211.9024
0.01,0.080001,70,22.9259642,0.10386,218.927
0.01,0.090001,70,22.435569,0.11142,214.244
0.01,0.100001,70,23.4163586,0.08834,223.6096
0.01,0.110001,70,22.8033644,0.08914,217.756
0.01,0.120001,70,23.0485626,0.08222,220.0976
0.01,0.130001,70,23.2937604,0.10262,222.439
0.01,0.140001,70,24.2745484,0.08172,231.8048
0.01,0.150001,70,22.9259638,0.08364,218.9268
0.01,0.160001,70,24.029353,0.07604,229.4636
0.01,0.170001,70,23.6615556,0.07412,225.9512
0.01,0.180001,70,23.2937602,0.0763,222.439
0.01,0.190001,70,23.9067536,0.0885,228.2928
0.01,0.200001,70,23.661556,0.05774,225.9512
0.01,0.210001,70,23.538957,0.07638,224.7804
0.01,0.220001,70,24.1519504,0.0697,230.6342
0.01,0.230001,70,22.6807666,0.08334,216.5852
0.01,0.240001,70,23.7841538,0.06528,227.1218
0.01,0.250001,70,24.2745496,0.0655,231.805
0.01,0.260001,70,23.5389578,0.08092,224.7804
0.01,0.270001,70,23.0485632,0.08104,220.0976
0.01,0.280001,70,24.0293522,0.07358,229.4634
0.01,0.290001,70,23.7841538,0.0677,227.1218
0.01,0.300001,70,23.538958,0.06758,224.7804
0.01,0.310001,70,24.0293522,0.07384,229.4636
0.01,0.320001,70,23.0485624,0.0665,220.0976
0.01,0.330001,70,23.9067534,0.07822,228.2926
0.01,0.340001,70,24.6423462,0.0577,235.3172
0.01,0.350001,70,23.0485624,0.08268,220.0976
0.01,0.360001,70,23.2937598,0.07406,222.439
0.01,0.370001,70,24.764945,0.07786,236.4878
0.01,0.380001,70,23.7841538,0.098,227.1218
0.01,0.390001,70,23.2937598,0.07994,222.439
0.01,0.400001,70,23.5389578,0.07286,224.7804
0.01,0.410001,70,23.1711612,0.07578,221.2682
0.01,0.420001,70,24.2745484,0.0759,231.8048
0.01,0.430001,70,23.6615566,0.07296,225.951
0.01,0.440001,70,23.6615566,0.07544,225.9514
0.01,0.450001,70,23.4163588,0.06804,223.6098
0.01,0.460001,70,23.6615566,0.08038,225.9512
0.01,0.470001,70,24.1519512,0.08226,230.6344
0.01,0.480001,70,23.6615564,0.07014,225.9512
0.01,0.490001,70,23.5389578,0.06668,224.7806
0.01,0.500001,70,23.661557,0.08658,225.9514
0.01,0.510001,70,23.5389566,0.07254,224.7804
0.01,0.520001,70,23.2937596,0.05952,222.439
0.01,0.530001,70,24.2745498,0.06792,231.805
0.01,0.540001,70,23.7841544,0.0686,227.122
0.01,0.550001,70,23.9067532,0.07112,228.2926
0.01,0.560001,70,23.416359,0.06364,223.6098
0.01,0.570001,70,23.7841546,0.05996,227.122
0.01,0.580001,70,23.5389574,0.07782,224.7806
0.01,0.590001,70,24.0293532,0.08798,229.4634
0.01,0.600001,70,23.2937596,0.07704,222.4392
